18	توشية الميزان
الصنعة 1 . استهلال . توشيح مخلع البسيط لأبي بكر بن زهر
6	يَا مَنْ لَهُ أَحْسَنُ الصِّفَاتِ	يَا غُصْنَ آسٍ وَيَا قَمَرْ
6	غِبْتَ فَلَمْ يَأتِ مِنْكَ آتِ	فَاسْتَوْحَشَ السَّمْعُ وَالبَصَرْ
4	لَوْلا الصَّبَا مِنْ تِلْكَ الجِهَاتِ	هَبَّتْ عَلَيْنَا مَعَ السَّحَرْ

4	يَا أَيُّهَا الطَّالِعُ السَّعِيدْ	جَاءَتْ بِأَنْبَائِكَ الرِّيَاحْ
6	إِنَّ الصَّبَا عَنْكَ أَخْبَرَتْنِي	فَاهْتَزَّ رَوْضُ المُنَى وَفَاحْ

الصنعة 2 . شغل.ـ استهلال . زجل
27	يَا مَوْلايْ وَاقِفْ لِبَابِكْ	عِنْدَ قَرْعِ النَّوَائِبِ
27	اُطْلُبْنِي تَجِدْنِي	عِنْدَ شَدِّ المَصَائِبِ

الصنعة 4 . استهلال . زجل
3	اِعْرِفِ الَّذِي يَعْرَفْ مَقَامَكْ
3	وَعُمْ فِي القَصِيرْ شَمِّرْ ثِيَّابَكْ
3	إِذَا جَاءَكَ الحَبِيبْ افْتَحْ لُه بَابَكْ

9	الأُصُولْ تَصُولْ	وَخَلِّ مَنْ قَالْ يَقُولْ

الصنعة 3 . استهلال . زجل للششتري
4	بِذَا الحُبِّ اِنْعَمَّرْ قَلْبِي	وَمَحْبُوبِي عَزِيزْ سُلْطَانْ
4	تَرَكْنِي فِي الهَوَى مَسْبِي	مَا بَيْنَ الحُسْنِ وَالإِحْسَانْ
4	وَلا عَوَّدَنِي حِبِّي	سِوَى الصَّدَّ وَالهِجْرَانْ

4	وَلَكِنْ آشْ بِيدِي نَعْمَلْ	مَلِيحٌ كُلَّمَا يَصْنَعْ
4	فَدَعْهُ يَهْجُرْ وَانَا نَحْمِلْ	وَلِلصَّبْرِ الجَمِيلْ نَرْجِعْ

الصنعة 21  . شغل ـ استهلال . توشيح مقتضب لابن سهل
20	جُفُونِي قَادَتْ إِلَى حَيْنِي	وَثَارِي عِنْدِي فَمَا أَطْلُبْ
20	دَعُونِي أَقْتَصُّ مِنْ جَفْنِي	بِسُهْدِي وَعَبْرَتِي أَسْكُبْ

الصنعة 24 . شغل ـ استهلال . زجل
6	نَدَّمَّمْ وَنَخْضَعْ	مَا فَادْنِي خُضُوعِي
6	وَنَمْشِي وَنَرْجَعْ	نَعْثَرْ فِي دُمُوعِي
6	وَبِالنَّظْرَة نَقْنَعْ	مِنْ شِدَّةْ وُلُوعِي

4	قَوْسُ الحُبِّ مَنْصُوبْ	بِقَصْدِ الإِشَارَة
6	وَمَنْ عَقْلُه مَنْشُوبْ	كِيفْ يَقْوَى التِّجَارَة

الصنعة 26 . استهلال . زجل
6	قَلْبِي وَصَدْرِي إِلَيكْ مَكَانْ	تَعْلَمُ هَذَا أَيَا مَلِيحْ
6	يَا خَدّْ يَاقُوتْ يَا بَهْرََمَانْ	اِشْفَقْ عَلَى قَلْبِي الجَرِيحْ
4	عِنْدَ الوِصَالْ اِرْخِ العِنَانْ	بَالَكْ تَكُنْ شَوَايْ شَحِيحْ

4	اِشْحَالْ عَلَيَّ مِنْ ذَا النِّفَارْ	حَتَّى الطَّرِيقْ كَتَنْجَلِي
6	خَلِّ التَّجَنِّي يَا قَمَرْ	وَارْحَمْ خُضُوعَ المُبْتَلِي

