96	tawshīt al-mīzān
al-ṣan‘ah. istihlāl. qaṣīdah. kāmil
6	jā’ al-bashīr mubashshiran biqudūmih	famuli’t min qawl al-bashīr surūrā
6	wal-lah law qana‘ al-bashīr bimuhjatī	lawahabtuhā wara’ayt dhāk yasīrā
6	waka’annanī ya‘qūb min faraḥin bih	idh ‘ād min shamm al-qamīṣ baṣīrā

6	qad bashsharat biqudūmikum rīḥ al-ṣabā	hlan bikum yā zā’irīn wamarḥabā
6	wāistanshaqat arwāḥunā arj al-liqā	yā ḥabbadhā qurb al-zīārah aṭrabā

al-ṣan‘ah. istihlāl. qaṣīdah. basīṭ
8	abshir laqad nilt mā tarjū watantaẓir	waqad jará bi-al-ladhī takhtāruh al-qadar
8	wasā‘adatk min al-īyām arba‘ah	al-‘izz wal-naṣr wal-tamkīn wal-ẓafar

al-ṣan‘ah. istihlāl. tawshīḥ
6	khaḍa‘at al-usd	lihilāl al-dayjūr
4	ḥāz al-bahā waḥduh	al-malik al-manṣūr

4	subḥān man anshāh	fitnatan lil‘ushshāq
4	wabiālbahā awlāh	wal-sirr wal-akhlāq
4	yaghār min sanāh	al-badr fī al-ishrāq

6	tajallá min wudduh	biḥusn zayn al-ḥūr
4	ḥāz al-bahā waḥduh	al-malik al-manṣūr

mawwāl
8	āmūlāy inn al-bu‘d ‘ank ḍrr bī	waman dhā al-ladhī ‘an ḥusn dhātk yaṣbur
8	abutt muqillatay lā jimālak tanẓur	matá yā badī‘ al-ḥusn wajhak abṣar

al-ṣan‘ah. birūālatin. istihlāl. malḥūn
7	ā kāml al-bhā mā shaffk ta‘bī	nawmī man ājfāk ājfānī	kasīnh ājfānī
7	wuābqīt bālāḥsān āntbba‘ ṭlbī	law ṣibt nanẓur bā‘yānī	sīdī mā ‘yānī
7	naẓrā fiī ājmālak taḥyī qalbī	wāirḥam yā ḥyāt al-fānī	rānī fīk fānī

4	ḥusnak yā ḥasan	liljamāl ājmīl
4	jamīlun fattān	ftnh lilqatīl
4	waṣār bi-al-wasan	mā ṣār bi-al-dalīl

7	ghlabnī al-hwá wārḍīt bghulbī	mn qabl mā ābdītū ābdānī	wāsrá fiī ābdānī
7	rghabt fī al-fdā mā sā‘af rghbī	law kān lī āmsā‘af dānī	min yusruh āfdānī
7	naẓrā fiī ājmālak taḥyī qalbī	wāirḥam yā ḥyāt al-fānī	rānī fīk fānī

al-ṣan‘ah. shoghl. istihlāl. zajal
7	al-qadd al-ladhī sabānī	sahānī	minh mā qaṭa‘t īyās
7	yā rūḥī wayā rayḥānī	bi- jfānī	nashrab mā rawānī al-kās
7	qul lī wakīf namsak ‘inānī	ḥīn jānī	kutbak yā ‘azz al-nās

5	mā ṭi‘t ilā lilssulṭān	lammā ānfashá al-kitmān

7	in kān hadhā al-khaṭā minnī	qal lī kīf	nafūz bimā yurḍī al-jinān

al-ṣan‘ah. istihlāl. zajal
12	ghaybatuk zādatnī ashwāq	wālmanām rītuh jafānī
12	lam yazal ṭab‘ī ruqayyaq	ḥattá ṣār bi-al-ḥubb fānī
8	lam nazal ṭūl ‘umrī na‘shaq	wal-malīḥ rītuh warānī

8	wal-maḥabbah bi-al-ma‘ānī	wal-milāḥ mā hum sawīyā
12	‘aynay waqalbī nashawnī	hum bi-ithnayn āttafqūā ‘alayyā

al-ṣan‘ah. istihlāl. zajal
4	ant tazīd ma‘ná	wānā nazīd ‘ishqā
4	na‘shaq wanatmanná	‘alá tilk al-riqā
4	fī āmḥabbatak nafná	waman yalum yashqá

4	yashqá wayat‘adhdhab	dā’im naḥīl aṣfar
4	qul lī āsh yakūn ‘amlī	yā najmat al-gharār

