الصنعة 4 . استهلال . توشيح مجتث
6	يَا طَلْعَةَ البَدْرِ الأَكْمَلْ	يَا شَمْسَ بَعْدَ الغَمَامِ
6	البُعْدُ مَا طِقْتُ أَحْمِلْ	مِنْ لَوْعَتِي وَغَرَامِي
4	كَمْ  يَلِي أَكْتُبْ وَأُرْسِلْ	عَسَى تَرُدَّ سَلامِي

4	إِنْ طَالْ عَلَيَّ بِعَادُكْ	ظَنِّيتْ نَمُوتْ يَا حَبِيبِي
6	أَنْعِمْ وَجُدْ بِوِصَالِكْ	يَا مُمْرِضِي وَطَبِيبِي

الصنعة 10 . شغل ـ استهلال . زجل
10	فِي طَيْفِ المَنَامْ زَارْنِي وَوَلَّى	يَا لَيْتَ المَزَارَ كَانْ يَقْضَا
10	دَعْنِي وَالغَرَامْ فِي القَلْبِ حَلَى	رُوحِي يَا مَلِيحْ تَفْنَى وَتَمْضَى
10	هَوَاكْ يَا مَلِيحْ عَنِّي مَا وَلَّى	زُرْنِي يَا مَلِيحْ وَلَوْ فِي غَمْضَا

6	إِنْ كَانَ الرَّقِيبْ فِي اليَقْضَا يَمْنَعْ	مَا لَهُ فِي المَنَامْ سَطْوَة عَلَيْنَا
10	اللَّهُ الكَرِيمْ يَتُوبْ وَيَسْمَحْ	هَيْبَةُ المَلِيحْ تَسْطُو عَلَيْنَا

الصنعة 11 . شغل ـ استهلال . زجل لأبي مدين الغوث
3	إِنْ شِئْتَ أَنْ تَقْرَبْ	قُرْبَ الوِصَالِ
3	هِمْ فِي هَوَى المَحْبُوبْ	وَلا تُبَالِي

3	إِنْ شِئْتَ أَنْ تَرْقَى	فَخَلِّ الأَكْوَانْ
3	اِفْنَ وَزِدْ عِشْقَا	يَكُنْ لَكَ الشَّأنْ
3	وَاتَّبِعِ الحَقَّ	وَادْخُلْ لِلْمَيْدَانْ

3	تَنَالُ مَا تَطْلُبْ	عَلَى الكَمَالْ
3	هِمْ فِي هَوَى المَحْبُوبْ	وَلا تُبَالِي

إنشاد
	قد ذبت من الأشــــواق شـــوقا مجددا	وأسهرنــي جفنـــي وبت مســـهدا

الصنعة 15 . شغل ـ استهلال . توشيح مقتضب لابن سهل
20	جُفُونِي قَادَتْ إِلَى حَيْنِي	وَثَارِي عِنْدِي فَمَا أَطْلُبْ
20	دَعُونِي أَقْتَصُّ مِنْ جَفْنِي	بِسُهْدِي وَعَبْرَتِي أَسْكُبْ
15

الصنعة 16 . شغل ـ استهلال . زجل
14	سَرِيرَةُ الأَمْرِ	فِي الحُبِّ لَيْسَ تُعْلَمْ
14	وَلَذَّ لِي سُكْرِي	فِيهِ وَهْوَ لِي عَلْقَمْ
16	وَمِنْ عَجْبٍ يَدْرِي	أَنَّ الهَوَى لَيْسَ يُكْتَمْ

الصنعة 17  . شغل ـ استهلال . زجل
7	أَنَا مَا أَخَافْ	سِتْرُ الإِلَهْ مَسْبُولْ
7	وَلا أَعْرِفْ	إِلا مَلِيحْ مَكْمُولْ

7	طَبْعِي أَقْبَلْ	نَوَائِبَ الأَعْذَارْ
7	وَلا أَبْخَلْ	وَأَكْتُمُ الأَسْرَارْ
7	وَلا أَنْزِلْ	إِلا عَلَى الأَنْوَارْ

7	وَأُرَفْرِفْ	عَلَى المِلاحِ الكُلْ
7	وَلا أَعْرِفْ	إِلا مَلِيحْ مَكْمُولْ

الصنعة 19 . شغل ـ استهلال . زجل
7	القَدّْ الَّذِي سَبَانِي	سَهَانِي	مِنْهُ مَا قَطَعْت إِيَّاسْ
7	يَا رُوحِي وَيَا رَيْحَانِي	بِا جْفَانِي	نَشْرَبْ مَا رَوَانِي  الكَاسْ
7	قُلْ لِي وَكِيفْ نَمْسَكْ عِنَانِي	حِينْ جَانِي	كُتْبَكْ يَا أَعَزَّ النَّاسْ

5	مَا طِعْتُ إِلا لِلسُّلْطَانْ	لَمَّا انْفَشَى الكِتْمَانْ

7	إِنْ كَانْ هَذَا الخَطَا مِنِّي	قَلْ لِي كِيفْ	نَفُوزْ بِمَا يُرْضِي الجِنَانْ

الصنعة 20 . استهلال . زجل
12	غَيْبَتُكْ زَادَتْنِي أَشْوَاقْ	والمَنَامْ رِيتُه جَفَانِي
12	لَمْ يَزَلْ طَبْعِي رُقَيَّقْ	حَتَّى صَارْ بِالحُبِّ فَانِي
8	لَمْ نَزَلْ طُولْ عُمْرِي نَعْشَقْ	وَالمَلِيحْ رِيتُه وَرَانِي

8	وَالمَحَبَّة بِالمَعَانِي	وَالمِلاحْ مَا هُمْ سَوِيَّا
12	عَيْنِي وَقَلْبِي نَشَوْنِي	هُمْ باثْنَيْن اتَّفْقُوا عَلَيَّا

الصنعة 21  . استهلال . زجل
8	دَابَا يَاتِي اللَّه بِنَصْرَا	وَتَنْجَلِي عَنَّا الأَكْدَارْ
8	القَلْب مِسْكِينْ فِي حَسْرَا	مِنْ هَوَاكْ يَا زَيْنَ الأَقْمَارْ
8	وَلَمْ أَجِدْ عَنْكَ صَبْرَا	اللَّه حَسِيبْ كُلَّ غَدَّارْ

7	لا زِلْت عَلَى العَهْدِ حَبَّاسْ	وَالصَّبْرُ مِنْ شَأْنِ المَوَالِي
8	النَّاسْ هُمُ عِلَّةُ النَّاسْ	لا يَتْرُكُوا القَلْبَ سَالِي

الصنعة 22 . استهلال . زجل
4	أَنْتَ تَزِيدْ مَعْنَى	وَانَا نَزِيدْ عِشْقَا
4	نَعْشَقْ وَنَتْمَنَّى	عَلَى تِلْكَ الرِّقَا
4	فِي امْحَبَّتَكْ نَفْنَى	وَمَنْ  يَلُمْ يَشْقَى

4	يَشْقَى وَيَتْعَذَّبْ	دَائِمْ نَحِيلْ أَصْفَرْ
4	قُلْ لِي آشْ يَكُونْ عَمْلِي	يَا نَجْمَةَ الغَرَارْ

