al-ṣan‘ah. shoghl. mashriqī. tawshīḥ mujtathth
6	irḥam qulaybī al-mu‘anná	wāikhsh ‘adhāban alīmā
6	yā shādinan qad taranná	bi-al-lah kun lī raḥīmā
6	wakun ra’ūfan bimuḍná	wāi‘ṭif biqalbin salīmā

4	akhadhtanī min saqāmī	bi-al-ḥubb khdhan wabīlan
6	fahal tudāwī kilāmī	min rīqik al-salsabīlā

al-ṣan‘ah. mashriqī. zajal
6	shḥāl dam‘atī tajrī sakhīyā	ḥarramt al-manām ṭūl al-layālī
6	fī kull al-ṣabāḥ ma‘ al-‘ashīyā	nṣīḥ qad faniyat ayā mawālī
6	‘lāsh yā malīḥ tatīh ‘alayyā	ayn huw al-ladhī yahwāk ābḥālī

4	subḥān al-ladhī ṣawwar jamālak	wā‘ṭāk al-bahā wal-shafr al-akḥal
6	mā rīt fī al-milāḥ man huw ābḥālak	yā dārah qamar fī al-badr al-akmal

al-ṣan‘ah. shoghl. mashriqī. kāmil
27	‘aynay lighayr jamālikum lā tanẓur	wasiwākum fī khāṭirī lā yakhṭur
27	ṣabbart qalbī ‘alaykum fa’ajābanī	lā ṣabr lī lā aṣbr lā aṣbr


al-ṣan‘ah. shoghl. mashriqī. zajal
13	ant al-muḥakkam fī al-jamāl	al-lah a‘ṭāk awfá naṣīb
13	sha‘rak dujá ḥajbak hilāl	wamanẓarak siḥrun ‘ajīb

al-ṣan‘ah. shoghl. mashriqī. zajal
	mimman sakan minnī al-fu’ād
	wanqūl luh kay najnī al-murād

al-ṣan‘ah. shoghl. mashriqī. tawshīḥun li’abī bikrun bn zahr
17	hal tusta‘ād	īyāmunā bi-al-khalīj	walayāliyunā
17	aw yustafād	min al-nasīm al-arīj	misk dārīnā

inshād
	famā sukinat wal-hamm yawman bimawḍi‘in kadhalik lam yaskun ma‘ al-nghm āilgham

al-ṣan‘ah. shoghl. mashriqī. tawshīḥ muqtaḍab lābin sahil
12	jufūnī qādat ilá ḥaynī	wathārī ‘inday famā aṭlub
12	da‘ūnī aqtaṣṣ min jafnī	bisuhdī wa‘abratī askub

al-ṣan‘ah. shoghl. mashriqī. zajal
6	saṭā bi-al-jamāl	ka’annuh amīr	fī ‘aṣruh farīd
6	ṭalabt al-ghazāl	ma‘ay an yudīr	ku’ūs al-nabīd
4	in‘am lī waqāl	wṣālī yasīr	tablugh mā turīd

4	yakhdamnī naṣīb	wa‘ayshī yaṭīb

6	wada‘ al-raqīb	fī qaṣduh yakhīb	‘an baṣrī yaghīb

al-ṣan‘ah. ḥijāz mashriqī. zajal
3	yā qalbī bushrá	jād al-ḥabīb	bizawratī
3	saqānī khamran	bilā raqīb	fī ḥaḍratī
3	fahimt sukran	mimmā yaṭīb	min nashwatī

4	al-badr yujlā	‘ind al-kamāl	bimaḥḍarī
3	min sirr laylá	dhāt al-jamāl	al-azharī

al-ṣan‘ah. shoghl. ḥijāz mashriqī. zajal
6	yā ‘ādhilī bi-al-lah	da‘nī nazīd ‘ishqā
4	idhā natūb lillah	‘ishqī liman yabqá

4	yā dhā al-ladhī yadrī	balābil al-ashwāq
4	hadhā al-hawá al-‘udhrī	taṣbū lah al-‘ushshāq
4	qad ladhdh lī sukrī	bih ‘alá al-iṭlāq

6	al-ḥubb mā nansāh	waman yalūm yashqá
4	idhā natūb lillah	‘ishqī liman yabqá

al-ṣan‘ah. ḥijāz mashriqī. zajal
3	yā man ramānī bishām al-jufūn
3	hayyajt wajdī wal-ḥarakaāt wal-sukūn
3	tilk al-nuẓayrah kulluhā funūn

7	hī asḥaratnī yā badī‘ al-jamāl	al-shāmah wal-khāl

3	al-lah yuṣabbir man yarākum	‘alá kull ḥāl

al-ṣan‘ah. shoghl. ḥijāz mashriqī. zajal
5	fī al-malīḥ nafnī funūnī	wanujaddid fī al-walā‘ah
5	li’annah qurrah ‘uyūnī	mu’nisī ḍay al-shamā‘ah
5	yā muqābil a‘dhirūnī	qad faniyat min naẓrah sā‘ah

4	wafataḥ khadduh al-muwarrad	bi-al-nusaymat al-dhakīyah
5	kam ‘ayiyat nukhfī wanajḥad	wal-gharām sulliṭ ‘alayyā

al-ṣan‘ah. shoghl. ḥijāz mashriqī. zajal
8	kull yawm naṣbaḥ	yā ‘ibād narqub khayāluh
8	fa‘asá nalmaḥ	ḥusn qadduh wāi‘tidāluh
8	lah ‘uyūn wiqāḥ	lil‘ashīq yursil nbāluh

6	ḥīn narāh yā qawmī adhash	wal-malīḥ yadrī mā biyā
8	ahakadhā na‘ṭash	yā ‘ibād wal-mā ḥadāyā

al-ṣan‘ah. shoghl. mashriqī. qaṣīdah. mkhl‘ al-basīṭ li’abī al-ḥusn al-shshtrī
8	suqīt ka’s al-hawá qadīmā	min ghayr rḍin walā samā’
8	aṣbaḥt bih farīd ‘aṣrī	bayn al-wará ḥāmilan liwā’ī
6	lī madhhabun madhhabun ‘ajībun	bi-al-ḥusn qad fāq yā hnā’ī

4	yā man hum liljamīl hlun	in lam tamunnūā fayā shaqā’ī
8	ḥāshākum yā uhayl najdin	an taqṭa‘ūā minkum rajā’ī

al-ṣan‘ah. shoghl. mashriqī. tawshīḥ muḍāri‘ lābin al-khaṭīb
5	bimuhjatī tayyāh	aḥwar aḥam
3	tusāqīnī ‘aynāh	ku’ūs sam

3	ẓabī min al-ghīd	kamā tashā
3	muqallad al-jīd	ṭāwī al-ḥashā
3	kadānat al-rand	idhā mashá

5	tarajrajat ridfāh	mithl al-akam
3	thumm āinṭawat khiṣrāh	ṭay al-‘anam

al-ṣan‘ah. mashriqī. zajal
3	man ‘nduh khillun falyuhdī	lah al-ku’ūs
3	fī riyāḍ akhḍar yuḥākī	wajh al-‘arūs
3	mā hadhih ilāā furjā	bayn al-ghurūs

3	wal-ṭuyūr ‘ujjatun watasma‘	lahum ṣiyāḥ
3	mā hī al-furjah ilā	ma‘ al-milāḥ

